order_date,region,segment,revenue,profit,units_sold,discount_pct,customer_satisfaction,churned
2024-01-01,East,Home Office,273.45,48.45,10,5,4.9,0
2024-01-02,West,Corporate,544.6,82.12,4,10,5.0,0
2024-01-03,East,Consumer,483.58,101.52,16,5,5.0,0
2024-01-04,North,Home Office,452.96,117.59,18,5,4.1,0
2024-01-05,South,Corporate,489.04,85.95,8,0,4.6,0
2024-01-06,West,Home Office,419.03,60.03,13,0,4.4,0
2024-01-07,North,Consumer,408.13,123.01,10,5,5.0,0
2024-01-08,West,Corporate,247.59,43.93,9,0,5.0,0
2024-01-09,East,Home Office,2907.39,402.24,17,0,5.0,0
2024-01-10,South,Home Office,776.83,164.6,14,15,3.9,0
2024-01-11,South,Home Office,797.07,176.38,10,0,4.5,0
2024-01-12,North,Corporate,698.27,115.04,21,0,5.0,0
2024-01-13,North,Home Office,605.87,145.12,10,10,4.5,0
2024-01-14,South,Corporate,398.53,70.0,7,5,4.4,0
2024-01-15,South,Corporate,716.41,110.22,12,0,5.0,0
2024-01-16,East,Corporate,491.58,102.71,6,0,5.0,0
2024-01-17,West,Consumer,489.67,116.8,14,10,4.6,0
2024-01-18,East,Consumer,456.32,76.8,9,0,4.6,0
2024-01-19,East,Corporate,513.79,111.25,15,20,3.2,0
2024-01-20,West,Consumer,434.72,84.91,12,10,4.4,0
2024-01-21,North,Corporate,487.43,166.32,10,5,4.8,0
2024-01-22,North,Home Office,337.31,55.51,15,15,4.1,0
2024-01-23,East,Home Office,443.95,119.52,17,0,4.8,0
2024-01-24,North,Home Office,842.08,166.21,15,0,4.7,0
2024-01-25,North,Corporate,489.56,94.81,10,15,4.5,0
2024-01-26,South,Consumer,464.2,109.59,13,5,4.7,0
2024-01-27,South,Consumer,579.86,141.89,22,0,5.0,0
2024-01-28,West,Home Office,606.22,159.65,19,5,4.4,0
2024-01-29,East,Corporate,332.93,72.06,11,10,4.3,0
2024-01-30,South,Home Office,468.93,79.71,16,10,4.6,0
2024-01-31,South,Corporate,637.74,110.4,9,0,4.6,0
2024-02-01,North,Corporate,540.48,121.87,17,0,4.5,0
2024-02-02,North,Consumer,518.29,118.71,11,5,4.6,0
2024-02-03,North,Consumer,733.1,197.87,10,0,5.0,0
2024-02-04,East,Consumer,398.33,88.0,15,0,5.0,0
2024-02-05,North,Home Office,512.41,129.64,13,10,5.0,0
2024-02-06,South,Corporate,421.99,116.4,10,5,4.7,0
2024-02-07,North,Consumer,723.55,150.67,12,0,4.9,0
2024-02-08,West,Corporate,207.22,26.05,11,15,3.7,0
2024-02-09,North,Corporate,399.48,56.34,17,0,4.8,0
2024-02-10,North,Corporate,420.63,53.89,12,15,4.8,0
2024-02-11,West,Corporate,599.53,167.62,12,10,4.6,0
2024-02-12,South,Consumer,590.94,93.15,6,10,4.8,0
2024-02-13,West,Corporate,709.28,185.54,13,5,5.0,0
2024-02-14,East,Home Office,263.9,60.51,11,10,4.5,0
2024-02-15,East,Consumer,612.57,175.05,18,0,4.9,0
2024-02-16,North,Consumer,456.01,114.07,15,0,5.0,0
2024-02-17,South,Corporate,400.16,77.98,15,15,4.5,0
2024-02-18,South,Consumer,580.94,110.38,12,0,5.0,0
2024-02-19,West,Corporate,361.98,73.94,12,0,5.0,0
2024-02-20,South,Home Office,188.46,39.34,9,10,4.6,0
2024-02-21,East,Corporate,444.47,77.1,12,0,4.7,0
2024-02-22,North,Consumer,275.33,54.62,9,0,4.9,0
2024-02-23,South,Consumer,402.66,112.93,13,15,3.9,0
2024-02-24,South,Consumer,555.73,63.85,12,0,5.0,0
2024-02-25,North,Home Office,546.8,116.43,7,0,4.2,0
2024-02-26,West,Corporate,738.03,114.14,15,15,4.2,0
2024-02-27,South,Consumer,470.05,98.41,13,0,5.0,0
2024-02-28,West,Home Office,270.0,65.34,8,0,4.9,0
2024-02-29,East,Consumer,386.59,76.2,15,15,3.8,0
2024-03-01,East,Consumer,362.09,86.41,9,0,5.0,0
2024-03-02,East,Consumer,317.33,38.24,12,20,4.5,0
2024-03-03,East,Corporate,565.31,144.35,11,15,4.2,0
2024-03-04,North,Consumer,403.22,68.48,12,15,4.5,0
2024-03-05,South,Corporate,203.39,47.01,8,0,5.0,0
2024-03-06,North,Corporate,604.54,126.42,5,0,4.9,0
2024-03-07,South,Home Office,483.29,34.18,14,10,5.0,0
2024-03-08,North,Home Office,553.53,89.78,11,15,4.3,0
2024-03-09,West,Corporate,515.86,108.86,10,0,,0
2024-03-10,North,Home Office,594.75,165.16,12,0,4.8,0
